OTUID	X1	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X7	X8	X9
ASV_42	32	98	109	106	274	70	70	10	40	39	883	34	693	630	707	601	608	431	409	394	353	406	59	366	27	43	28	46	74	3	106	360	297	14	45	41	25	334	29	133	117	160	173	7	50	8	6	2	1	2	3	2	5	10	7	39	8	8	5	6	3	9	6	121	82	71
ASV_51	3196	85	12	26	163	870	1317	15	1391	332	4	95	9	9	9	6	14	9	15	16	12	16	49	21	0	0	1	0	1	0	33	19	1	30	0	0	3	20	2	36	13	0	0	0	145	1	0	1	1	1	0	0	0	5	1	340	0	0	0	0	0	0	0	184	183	615
ASV_59	352	277	537	530	989	821	719	82	207	269	15	310	8	12	15	10	10	33	36	22	29	21	964	28	1	22	1	371	0	1	0	0	164	178	39	11	0	13	0	1	0	1	3	11	404	7	3	16	3	3	1	0	1	2	1	627	0	2	1	4	1	4	1	321	305	460
ASV_54	61	18	16	30	22	14	18	3	11	9	1394	59	1239	1185	1425	1380	1400	39	49	43	64	51	224	51	0	0	0	1	2	7	0	1	96	34	2	0	69	0	0	11	0	0	1	0	59	0	0	0	0	0	1	2	0	1	1	73	1	0	0	0	0	0	1	18	19	17
ASV_43	7	134	696	1889	13	10	10	12	11	11	1	31	4	0	2	4	5	11	4	7	8	17	14	5	0	0	0	0	1	1	0	0	1	14	0	0	0	1	31	9	11	1	68	0	14	6	5	0	0	7	1	0	0	0	0	39	0	0	0	0	0	0	0	513	3337	2147
ASV_52	0	4	0	3	0	0	0	0	0	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	40	3842	179	48	137	69	93	114	14	2	55	11	310	66	46	692	2217	94	832	2	2	3	5	2	4	7	3	7	4	1	2	0	4	4	4	6	2	4	6	0	1	0
ASV_45	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	46	62	34	14	214	789	38	398	1555	0	80	19	7	103	615	1127	2265	137	496	5	0	647	5	3	10	7	4	1	4	2	1	0	2	5	11	3	3	9	2	0	0	0
ASV_57	60	17	10	20	7	9	13	6	3	5	1070	59	1075	1305	1255	1094	1254	80	97	75	100	103	619	73	0	0	0	0	0	0	0	0	1	26	0	1	0	21	4	41	0	0	0	0	73	0	0	0	0	0	0	0	1	0	0	80	2	0	0	0	0	1	0	32	18	12
ASV_47	30	2	2	9	14	15	12	3	5	43	4	6	2	1	4	0	6	3	8	2	3	9	9	10	221	68	183	3181	1571	179	8	140	58	0	21	2081	10	7	27	86	67	4	269	16	7	10	5	17	19	4	6	7	24	9	10	28	19	65	2	7	6	3	3	6	1	2
ASV_41	1492	17	31	58	148	1109	865	4	127	29	7	2405	8	6	4	6	8	4	6	4	5	6	124	4	18	48	0	1	29	0	3	39	0	127	0	1	0	0	4	32	45	49	25	2	1584	0	1	0	0	0	0	1	0	0	0	69	0	0	9	0	11	16	0	13	17	23
ASV_65	21	37	32	38	15	5	9	6	9	6	1053	32	890	856	1039	951	943	374	295	323	259	333	61	338	0	0	52	0	38	1	0	1	127	9	1	0	89	8	15	18	2	0	55	0	18	0	0	0	0	0	1	1	6	1	0	13	0	0	0	0	1	1	1	61	58	32
ASV_63	38	154	46	235	32	15	20	7	16	11	29	62	28	27	18	35	39	972	951	999	982	1072	88	1042	0	0	3	1	0	0	261	81	88	22	31	1	0	23	14	21	5	0	46	0	118	0	0	0	1	0	0	0	2	0	0	36	0	0	2	0	2	2	1	252	226	139
ASV_60	107	355	93	139	6	2	6	5	2	3	1	81	4	3	7	1	5	1086	762	810	848	893	31	728	0	24	0	0	0	0	27	83	168	25	375	1	0	1	11	38	0	0	1	0	196	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	1	1	201	523	316
ASV_49	548	7	13	30	4377	369	603	6	41	28	2	953	3	4	4	2	3	5	6	7	3	4	96	6	0	18	71	1	0	0	1	0	0	33	0	1	1	35	0	0	20	0	0	4	619	0	0	0	0	0	0	0	0	0	0	48	2	0	0	2	4	0	0	11	5	7
ASV_66	47	61	65	94	24	25	42	19	30	19	1072	37	750	717	685	725	651	291	264	273	239	259	98	225	1	49	74	1	1	8	92	75	87	47	2	0	78	57	28	60	39	99	83	0	56	1	2	2	3	4	4	2	2	4	1	79	1	4	2	1	1	0	0	108	62	51
ASV_53	0	1	0	0	29	47	17	1	7	39	1	1	1	1	0	0	1	1	1	0	2	0	29	2	56	3	6	7	6	11	106	716	496	10	3245	2002	618	8	10	5	12	3	2	1	3	4	10	6	2	2	1	11	7	7	6	7	14	43	21	11	8	109	8	1	0	1
ASV_55	93	185	187	127	639	39	166	342	1490	3977	4	134	2	5	3	6	7	9	21	12	12	12	34	14	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	30	2	0	1	0	3	0	0	0	0	0	48	0	0	0	0	0	0	0	28	15	44
ASV_64	11	139	34	163	21	16	14	5	5	4	34	19	24	63	37	23	37	949	877	1002	959	914	28	1035	9	35	0	0	0	1	54	2	183	9	83	56	129	3	15	17	29	46	62	0	15	0	1	0	0	2	0	0	0	0	0	15	0	0	0	0	2	3	2	114	223	105
ASV_58	39	570	386	300	5	3	11	4	4	9	13	13	4	10	4	4	4	539	498	628	587	584	20	626	21	0	24	65	0	0	79	82	249	7	0	23	73	21	5	17	14	37	0	0	22	0	0	0	0	0	0	1	0	1	0	22	1	0	0	0	1	0	1	338	1246	381
ASV_315	162	59	50	352	1698	302	392	948	602	840	3	51	5	11	0	11	10	15	20	19	14	12	106	11	15	14	0	0	4	13	0	1	140	155	45	12	0	9	12	1	8	14	1	5	359	0	2	0	7	1	1	1	2	4	2	331	1	0	15	79	4	3	6	148	212	53
ASV_56	5	5	7	2	4	10	2	1186	3	3	8	4	4	5	2	7	0	6	1	3	5	2	0	5	3	30	4	1	24	26	27	134	55	6	2050	13	141	6	19	21	16	26	92	158	3	64	76	17	21	17	8	2	190	0	3	2	19	22	2301	154	25	73	143	8	5	1
ASV_62	16	211	118	198	11	5	9	5	5	3	22	14	15	16	18	26	25	888	733	841	812	773	13	920	24	29	0	0	1	25	21	41	67	13	59	2	123	26	17	43	42	78	68	1	10	0	0	0	0	4	0	0	1	0	1	13	0	1	10	0	1	0	0	260	294	164
ASV_67	77	14	61	112	938	227	1719	25	92	91	4	376	6	4	6	5	8	8	6	8	8	9	34	7	0	33	0	0	2	0	1	25	3	1121	108	1	3	0	0	1	29	14	0	0	1299	0	0	0	0	0	0	2	0	1	0	486	0	0	11	2	5	0	0	65	13	40
ASV_76	89	56	63	104	30	35	30	13	19	15	726	44	642	658	636	670	503	231	203	235	182	246	99	183	15	112	54	232	40	19	2	79	1	35	27	94	43	108	12	78	4	31	3	2	49	3	2	3	2	0	2	4	1	0	1	68	3	1	5	5	3	4	1	99	46	38
ASV_268	110	25	11	19	15	5	10	4	6	4	891	108	841	830	991	919	912	98	77	73	64	73	362	97	0	22	0	113	1	0	21	1	1	44	1	0	0	3	8	1	14	0	0	0	74	0	0	0	0	0	0	5	2	3	0	81	0	0	0	0	0	0	0	32	14	17
ASV_71	8	15	14	12	11	7	8	3	4	2	1039	26	1024	1006	1076	952	946	15	22	24	25	16	261	17	0	1	0	103	69	0	0	0	0	22	1	48	0	0	4	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	18	6	7
ASV_68	10	0	0	0	6	1	0	0	0	0	3	0	0	0	4	0	0	0	1	0	0	1	1	2	69	120	223	827	8	11	220	273	599	1	231	4	167	2089	1196	364	137	3	123	0	0	5	8	3	0	3	9	2	4	2	1	0	5	20	9	7	5	2	1	2	2	1
ASV_78	20	16	12	16	1805	670	543	603	837	992	18	6	15	25	21	14	13	16	17	17	19	18	176	19	0	1	0	431	1	0	0	11	65	5	27	37	0	3	34	17	15	0	0	0	10	1	0	1	0	2	0	0	0	0	4	43	0	0	0	0	0	0	0	16	21	14
ASV_86	78	54	60	75	24	21	26	12	15	15	988	26	636	624	660	513	651	213	178	232	165	204	60	166	0	21	5	75	45	0	22	60	99	32	1	2	62	97	15	48	29	3	14	0	46	2	0	3	1	0	2	4	1	1	0	67	0	2	1	1	3	1	0	71	42	41
ASV_73	369	11	15	17	125	95	28	7	15	9	7	876	15	13	17	10	10	13	11	14	25	21	1009	17	1	66	22	0	0	27	30	0	75	413	1	0	0	1	2	0	4	0	0	0	2281	1	0	0	2	0	0	0	0	0	0	842	0	12	0	0	0	0	0	18	13	22
